TIME: 1698307417592.624756, VX: 0.000000, VY: 0.000000
TIME: 1698307417626.041748, VX: 0.000009, VY: -0.000002
TIME: 1698307417659.458740, VX: 0.000006, VY: 0.000005
TIME: 1698307417692.735840, VX: 0.000009, VY: 0.000004
TIME: 1698307417725.974854, VX: 0.000009, VY: -0.000010
TIME: 1698307417759.445801, VX: -0.000007, VY: -0.000003
TIME: 1698307417792.824951, VX: -0.000003, VY: -0.000008
TIME: 1698307417825.946777, VX: -0.000021, VY: 0.000001
TIME: 1698307417859.449951, VX: -0.000002, VY: -0.000002
TIME: 1698307417892.836914, VX: -0.000005, VY: 0.000001
TIME: 1698307417925.946777, VX: -0.000002, VY: -0.000003
TIME: 1698307417959.456787, VX: -0.000012, VY: 0.000005
TIME: 1698307417992.818848, VX: -0.000023, VY: 0.000007
TIME: 1698307418025.950928, VX: 0.000019, VY: 0.000000
TIME: 1698307418059.448730, VX: 0.000007, VY: 0.000004
TIME: 1698307418092.836914, VX: 0.000011, VY: -0.000000
TIME: 1698307418125.932861, VX: 0.000045, VY: -0.000008
TIME: 1698307418159.473877, VX: 0.000002, VY: 0.000005
TIME: 1698307418192.797852, VX: 0.000003, VY: 0.000004
TIME: 1698307418225.978760, VX: 0.000043, VY: 0.000002
TIME: 1698307418259.433838, VX: 0.000003, VY: 0.000003
TIME: 1698307418292.825928, VX: -0.000003, VY: 0.000007
TIME: 1698307418326.087891, VX: -0.000004, VY: 0.000007
TIME: 1698307418426.121826, VX: 0.000003, VY: -0.000009
TIME: 1698307418459.341797, VX: 0.000011, VY: -0.000011
TIME: 1698307418492.831787, VX: 0.000008, VY: -0.000008
TIME: 1698307418526.190918, VX: 0.000019, VY: -0.000008
TIME: 1698307418559.331787, VX: 0.000006, VY: -0.000005
TIME: 1698307418592.842773, VX: -0.000002, VY: 0.000001
TIME: 1698307418626.216797, VX: 0.000027, VY: -0.000004
TIME: 1698307418659.342773, VX: 0.000009, VY: -0.000000
TIME: 1698307418692.836914, VX: 0.000014, VY: -0.000002
TIME: 1698307418726.181885, VX: 0.000008, VY: -0.000001
TIME: 1698307418759.338867, VX: 0.000005, VY: 0.000002
TIME: 1698307418792.798828, VX: 0.000017, VY: -0.000002
TIME: 1698307418826.213867, VX: 0.000035, VY: -0.000002
TIME: 1698307418859.579834, VX: -0.000277, VY: -0.000326
TIME: 1698307418892.722900, VX: -0.000001, VY: -0.000025
TIME: 1698307418926.221924, VX: 0.000007, VY: -0.000005
TIME: 1698307418959.554932, VX: 0.000031, VY: -0.000015
TIME: 1698307418992.677734, VX: 0.000012, VY: 0.000008
TIME: 1698307419026.199951, VX: 0.000007, VY: 0.000001
TIME: 1698307419059.583740, VX: 0.000011, VY: -0.000002
TIME: 1698307419092.703857, VX: 0.000013, VY: -0.000007
TIME: 1698307419126.206787, VX: -0.000008, VY: -0.000015
TIME: 1698307419159.583740, VX: 0.000003, VY: -0.000005
TIME: 1698307419192.660889, VX: 0.000006, VY: 0.000010
TIME: 1698307419226.249756, VX: 0.000010, VY: -0.000011
TIME: 1698307419259.591797, VX: 0.000006, VY: -0.000003
TIME: 1698307419292.723877, VX: -0.000003, VY: -0.000003
TIME: 1698307419326.207764, VX: 0.000003, VY: -0.000005
TIME: 1698307419359.574951, VX: -0.000007, VY: 0.000005
TIME: 1698307419392.777832, VX: 0.000036, VY: -0.000011
TIME: 1698307419426.196777, VX: 0.000016, VY: 0.000005
TIME: 1698307419459.533936, VX: -0.000012, VY: 0.000002
TIME: 1698307419492.814941, VX: 0.000012, VY: 0.000008
TIME: 1698307419526.060791, VX: -0.000002, VY: 0.000018
TIME: 1698307419559.567871, VX: -0.000001, VY: 0.000014
TIME: 1698307419592.950928, VX: -0.000004, VY: -0.000001
TIME: 1698307419626.088867, VX: -0.000009, VY: -0.000003
TIME: 1698307419659.557861, VX: -0.000016, VY: 0.000016
TIME: 1698307419692.947754, VX: -0.000033, VY: 0.000010
TIME: 1698307419726.080811, VX: -0.000019, VY: -0.000006
TIME: 1698307419759.628906, VX: -0.000021, VY: -0.000012
TIME: 1698307419792.997803, VX: -0.000044, VY: -0.000026
TIME: 1698307419826.061768, VX: -0.000030, VY: -0.000013
TIME: 1698307419859.643799, VX: -0.000002, VY: -0.000019
TIME: 1698307419892.983887, VX: -0.000027, VY: -0.000000
TIME: 1698307419926.076904, VX: -0.000001, VY: -0.000005
TIME: 1698307419959.604736, VX: 0.000031, VY: -0.000017
TIME: 1698307419992.956787, VX: 0.000037, VY: -0.000015
TIME: 1698307420026.214844, VX: 0.000009, VY: -0.000004
TIME: 1698307420059.467773, VX: 0.000007, VY: -0.000007
TIME: 1698307420092.969727, VX: 0.000009, VY: -0.000001
TIME: 1698307420126.339844, VX: 0.000002, VY: -0.000001
TIME: 1698307420226.238770, VX: -0.000019, VY: 0.000002
TIME: 1698307420259.403809, VX: -0.000052, VY: 0.000003
TIME: 1698307420292.958740, VX: -0.000039, VY: -0.000003
TIME: 1698307420326.315918, VX: -0.000007, VY: -0.000021
TIME: 1698307420359.469727, VX: -0.000028, VY: -0.000009
TIME: 1698307420392.917725, VX: -0.000016, VY: -0.000009
TIME: 1698307420426.350830, VX: -0.000013, VY: -0.000002
TIME: 1698307420459.415771, VX: 0.000009, VY: -0.000006
TIME: 1698307420493.009766, VX: 0.000006, VY: -0.000011
TIME: 1698307420592.947754, VX: 0.000001, VY: 0.000006
TIME: 1698307420626.348877, VX: 0.000000, VY: 0.000011
TIME: 1698307420659.701904, VX: 0.000027, VY: 0.000001
TIME: 1698307420692.875732, VX: 0.000001, VY: -0.000005
TIME: 1698307420726.329834, VX: -0.000002, VY: 0.000003
TIME: 1698307420759.701904, VX: -0.000015, VY: -0.000001
TIME: 1698307420792.833740, VX: 0.000002, VY: -0.000003
TIME: 1698307420826.335938, VX: 0.000002, VY: 0.000004
TIME: 1698307420859.766846, VX: 0.000008, VY: -0.000011
TIME: 1698307420892.820801, VX: -0.000017, VY: 0.000014
TIME: 1698307420928.118896, VX: 0.000002, VY: 0.000024
TIME: 1698307420959.740723, VX: -0.000000, VY: -0.000001
TIME: 1698307420992.830811, VX: -0.000048, VY: -0.000004
TIME: 1698307421026.295898, VX: -0.000045, VY: -0.000008
TIME: 1698307421059.718750, VX: -0.000043, VY: 0.000003
TIME: 1698307421092.814941, VX: -0.000060, VY: 0.000008
TIME: 1698307421126.345947, VX: -0.000032, VY: -0.000004
TIME: 1698307421159.710938, VX: -0.000041, VY: -0.000014
TIME: 1698307421192.930908, VX: -0.000057, VY: -0.000022
TIME: 1698307421226.249756, VX: -0.000070, VY: -0.000017
TIME: 1698307421259.677734, VX: -0.000121, VY: -0.000044
TIME: 1698307421293.024902, VX: -0.000068, VY: 0.000001
TIME: 1698307421326.207764, VX: -0.000083, VY: 0.000021
TIME: 1698307421359.698730, VX: -0.000049, VY: 0.000221
TIME: 1698307421393.084717, VX: -0.000080, VY: 0.000036
TIME: 1698307421426.198730, VX: -0.000103, VY: 0.000030
TIME: 1698307421459.677734, VX: -0.000127, VY: 0.000034
TIME: 1698307421493.085938, VX: -0.000099, VY: -0.000006
TIME: 1698307421526.166748, VX: -0.000137, VY: -0.000029
TIME: 1698307421559.696777, VX: -0.000177, VY: 0.000015
TIME: 1698307421593.140869, VX: -0.000130, VY: -0.000018
TIME: 1698307421626.217773, VX: -0.000068, VY: -0.000046
TIME: 1698307421659.708740, VX: -0.000109, VY: -0.000019
TIME: 1698307421693.113770, VX: -0.000091, VY: -0.000081
TIME: 1698307421726.257812, VX: -0.000246, VY: 0.000015
TIME: 1698307421759.709717, VX: -0.000016, VY: 0.000004
TIME: 1698307421793.143799, VX: 0.000056, VY: -0.000365
TIME: 1698307421826.457764, VX: -0.000077, VY: -0.000048
TIME: 1698307421859.551758, VX: -0.000009, VY: -0.000093
TIME: 1698307421893.135742, VX: -0.000049, VY: -0.000141
TIME: 1698307421926.424805, VX: -0.000171, VY: -0.000120
TIME: 1698307421959.819824, VX: -0.000178, VY: -0.000090
TIME: 1698307421993.119873, VX: -0.000083, VY: -0.000089
TIME: 1698307422026.413818, VX: -0.000150, VY: -0.000079
TIME: 1698307422059.684814, VX: -0.000100, VY: -0.000059
TIME: 1698307422093.115723, VX: -0.000079, VY: -0.000009
TIME: 1698307422126.423828, VX: 0.002687, VY: -0.000236
TIME: 1698307422160.493896, VX: -0.000083, VY: 0.000107
TIME: 1698307422193.075928, VX: 0.000016, VY: -0.000075
TIME: 1698307422226.466797, VX: -0.000006, VY: -0.000067
TIME: 1698307422259.603760, VX: 0.000010, VY: -0.000126
TIME: 1698307422293.075928, VX: -0.000016, VY: -0.000098
TIME: 1698307422326.473877, VX: -0.000020, VY: -0.000086
TIME: 1698307422359.759766, VX: -0.000032, VY: -0.000077
TIME: 1698307422392.952881, VX: -0.000012, VY: -0.000085
TIME: 1698307422493.065918, VX: -0.000040, VY: -0.000036
TIME: 1698307422526.481934, VX: 0.000513, VY: 0.000892
TIME: 1698307422559.823730, VX: 0.000029, VY: 0.000019
TIME: 1698307422592.931885, VX: 0.000475, VY: 0.000335
TIME: 1698307422626.493896, VX: -0.000361, VY: -0.000275
TIME: 1698307422659.821777, VX: -0.000026, VY: -0.000047
TIME: 1698307422692.947754, VX: 0.000304, VY: 0.000433
TIME: 1698307422726.459717, VX: 0.002950, VY: 0.001443
TIME: 1698307422759.807861, VX: 0.000049, VY: 0.000018
TIME: 1698307422792.958740, VX: -0.000001, VY: 0.000002
TIME: 1698307422828.073730, VX: 0.000002, VY: -0.000003
TIME: 1698307422859.811768, VX: -0.000026, VY: -0.000000
TIME: 1698307422892.984863, VX: 0.000004, VY: 0.000039
TIME: 1698307422993.138916, VX: -0.000020, VY: 0.000027
TIME: 1698307423026.405762, VX: -0.000079, VY: 0.000019
TIME: 1698307423062.315918, VX: -0.000319, VY: -0.000842
